Timestamp,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Magnetometer X,Magnetometer Y,Magnetometer Z,Euler X,Euler Y,Euler Z,Pressure,Step count,Activity,Rotation Vector X,Rotation Vector Y,Rotation Vector Z,Rotation Vector W,Game Rotation Vector X,Game Rotation Vector Y,Game Rotation Vector Z,Game Rotation Vector W,Calibration
97704500122.0,234.0,-4026.0,-727.0,18.0,-3.0,-6.0,-396.0,639.0,499.0,4414.0,312.0,9130.0,9682052.0,721.0,0.0,-11773.0,4422.0,-4284.0,9587.0,-7476.0,10110.0,-8810.0,5717.0,63.0
97704520355.0,236.0,-4040.0,-729.0,15.0,-2.0,2.0,-395.0,639.0,495.0,4413.0,312.0,9128.0,9682052.0,721.0,0.0,-11771.0,4421.0,-4284.0,9589.0,-7475.0,10108.0,-8812.0,5719.0,63.0
97704540161.0,235.0,-4020.0,-726.0,11.0,0.0,8.0,-392.0,638.0,497.0,4412.0,311.0,9127.0,9682213.0,721.0,0.0,-11769.0,4422.0,-4284.0,9591.0,-7474.0,10107.0,-8812.0,5721.0,63.0
97704560180.0,237.0,-4026.0,-703.0,11.0,2.0,15.0,-390.0,640.0,496.0,4411.0,310.0,9125.0,9682213.0,721.0,0.0,-11767.0,4423.0,-4284.0,9593.0,-7471.0,10107.0,-8813.0,5723.0,63.0
97704580200.0,228.0,-4053.0,-711.0,7.0,4.0,11.0,-394.0,642.0,496.0,4410.0,308.0,9124.0,9682213.0,721.0,0.0,-11765.0,4425.0,-4283.0,9595.0,-7469.0,10108.0,-8813.0,5725.0,63.0
97704600219.0,241.0,-4046.0,-713.0,0.0,3.0,2.0,-395.0,638.0,501.0,4409.0,308.0,9123.0,9682213.0,721.0,0.0,-11764.0,4425.0,-4283.0,9596.0,-7467.0,10108.0,-8814.0,5725.0,63.0
97704620239.0,236.0,-4042.0,-710.0,-6.0,-2.0,-1.0,-395.0,639.0,502.0,4409.0,307.0,9123.0,9682178.0,721.0,0.0,-11764.0,4426.0,-4283.0,9596.0,-7467.0,10108.0,-8814.0,5726.0,63.0
97704640258.0,225.0,-4039.0,-701.0,-9.0,-6.0,-7.0,-397.0,639.0,502.0,4409.0,308.0,9124.0,9682178.0,721.0,0.0,-11765.0,4425.0,-4282.0,9595.0,-7469.0,10108.0,-8813.0,5726.0,63.0
97704660278.0,229.0,-4007.0,-718.0,-7.0,-13.0,-2.0,-396.0,635.0,497.0,4408.0,308.0,9125.0,9682178.0,721.0,0.0,-11767.0,4423.0,-4281.0,9594.0,-7471.0,10108.0,-8811.0,5725.0,63.0
97704680297.0,228.0,-4059.0,-748.0,-10.0,-11.0,-6.0,-390.0,638.0,502.0,4407.0,308.0,9127.0,9682178.0,721.0,0.0,-11769.0,4422.0,-4279.0,9593.0,-7473.0,10108.0,-8809.0,5726.0,63.0
