Timestamp,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Magnetometer X,Magnetometer Y,Magnetometer Z,Euler X,Euler Y,Euler Z,Pressure,Step count,Activity,Rotation Vector X,Rotation Vector Y,Rotation Vector Z,Rotation Vector W,Game Rotation Vector X,Game Rotation Vector Y,Game Rotation Vector Z,Game Rotation Vector W,Calibration
87840256378.0,6.0,-3175.0,2495.0,-92.0,-30.0,-15.0,-274.0,760.0,-301.0,4765.0,-107.0,4742.0,9685122.0,259.0,0.0,-6412.0,3334.0,-6441.0,13217.0,-3562.0,6324.0,-12803.0,7199.0,59.0
87840276397.0,-37.0,-3204.0,2528.0,-102.0,-32.0,11.0,-272.0,760.0,-299.0,4752.0,-107.0,4752.0,9685122.0,259.0,0.0,-6430.0,3332.0,-6421.0,13219.0,-3572.0,6335.0,-12794.0,7198.0,59.0
87840296417.0,-50.0,-3128.0,2546.0,-149.0,-84.0,71.0,-270.0,761.0,-299.0,4733.0,-107.0,4772.0,9685122.0,259.0,0.0,-6460.0,3333.0,-6391.0,13218.0,-3594.0,6355.0,-12773.0,7207.0,59.0
87840316436.0,23.0,-3156.0,2505.0,-230.0,-140.0,146.0,-272.0,765.0,-301.0,4715.0,-110.0,4794.0,9685027.0,259.0,0.0,-6492.0,3341.0,-6362.0,13214.0,-3620.0,6378.0,-12745.0,7225.0,59.0
87840336456.0,16.0,-3129.0,2464.0,-310.0,-195.0,179.0,-272.0,763.0,-303.0,4704.0,-113.0,4824.0,9685027.0,259.0,0.0,-6533.0,3358.0,-6339.0,13201.0,-3655.0,6410.0,-12705.0,7248.0,59.0
87840356475.0,57.0,-3294.0,2346.0,-299.0,-191.0,248.0,-271.0,762.0,-300.0,4671.0,-121.0,4859.0,9685027.0,259.0,0.0,-6581.0,3372.0,-6287.0,13198.0,-3691.0,6447.0,-12658.0,7280.0,59.0
87840376495.0,-25.0,-3347.0,2450.0,-224.0,-143.0,234.0,-269.0,764.0,-297.0,4636.0,-133.0,4884.0,9685027.0,259.0,0.0,-6615.0,3384.0,-6236.0,13203.0,-3713.0,6476.0,-12617.0,7314.0,59.0
87840396514.0,-141.0,-3598.0,2193.0,-184.0,-102.0,161.0,-261.0,764.0,-287.0,4584.0,-144.0,4910.0,9685234.0,259.0,0.0,-6655.0,3385.0,-6162.0,13217.0,-3732.0,6508.0,-12581.0,7338.0,59.0
87840416534.0,-180.0,-3727.0,2212.0,-157.0,0.0,-62.0,-262.0,766.0,-286.0,4596.0,-144.0,4930.0,9685234.0,259.0,0.0,-6677.0,3405.0,-6171.0,13196.0,-3749.0,6531.0,-12566.0,7333.0,59.0
87840436553.0,-76.0,-3338.0,2224.0,-159.0,61.0,-208.0,-262.0,764.0,-282.0,4629.0,-130.0,4946.0,9685234.0,259.0,0.0,-6698.0,3413.0,-6207.0,13167.0,-3767.0,6546.0,-12573.0,7299.0,59.0
87840456573.0,-250.0,-2968.0,2015.0,-141.0,151.0,-105.0,-268.0,761.0,-280.0,4677.0,-128.0,4962.0,9685234.0,259.0,0.0,-6705.0,3451.0,-6262.0,13127.0,-3769.0,6571.0,-12579.0,7267.0,59.0
87840476593.0,36.0,-3376.0,2165.0,-107.0,276.0,68.0,-269.0,763.0,-273.0,4684.0,-144.0,4977.0,9684894.0,259.0,0.0,-6708.0,3489.0,-6265.0,13114.0,-3748.0,6606.0,-12577.0,7248.0,59.0
87840496612.0,248.0,-3612.0,3043.0,-160.0,336.0,75.0,-267.0,763.0,-271.0,4698.0,-170.0,4987.0,9684894.0,259.0,0.0,-6696.0,3544.0,-6280.0,13098.0,-3708.0,6644.0,-12579.0,7230.0,59.0
87840516632.0,283.0,-3491.0,2809.0,-235.0,170.0,32.0,-264.0,765.0,-269.0,4705.0,-186.0,5010.0,9684894.0,259.0,0.0,-6710.0,3589.0,-6281.0,13079.0,-3694.0,6689.0,-12571.0,7211.0,59.0
87840536651.0,-9.0,-3300.0,2182.0,-249.0,71.0,26.0,-260.0,768.0,-266.0,4693.0,-196.0,5042.0,9684894.0,259.0,0.0,-6745.0,3617.0,-6256.0,13065.0,-3700.0,6736.0,-12551.0,7198.0,59.0
87840556671.0,-123.0,-3385.0,2274.0,-216.0,80.0,66.0,-260.0,771.0,-264.0,4692.0,-208.0,5066.0,9685146.0,259.0,0.0,-6766.0,3650.0,-6247.0,13049.0,-3701.0,6774.0,-12534.0,7193.0,59.0
87840576690.0,-38.0,-3472.0,2343.0,-204.0,83.0,30.0,-260.0,772.0,-261.0,4693.0,-216.0,5089.0,9685146.0,259.0,0.0,-6788.0,3678.0,-6241.0,13033.0,-3704.0,6808.0,-12519.0,7184.0,59.0
87840596710.0,-47.0,-3320.0,2254.0,-165.0,48.0,-20.0,-257.0,776.0,-260.0,4695.0,-219.0,5108.0,9685146.0,259.0,0.0,-6808.0,3696.0,-6237.0,13019.0,-3710.0,6835.0,-12509.0,7172.0,59.0
87840616729.0,-102.0,-3325.0,2190.0,-114.0,25.0,-32.0,-258.0,774.0,-254.0,4697.0,-219.0,5123.0,9685146.0,259.0,0.0,-6826.0,3706.0,-6235.0,13008.0,-3718.0,6854.0,-12503.0,7160.0,59.0
87840636749.0,-145.0,-3418.0,2175.0,-84.0,33.0,-17.0,-254.0,776.0,-253.0,4696.0,-220.0,5134.0,9685070.0,259.0,0.0,-6839.0,3713.0,-6230.0,13001.0,-3722.0,6869.0,-12499.0,7152.0,59.0
87840656768.0,-97.0,-3330.0,2128.0,-127.0,61.0,91.0,-258.0,776.0,-250.0,4702.0,-228.0,5147.0,9685070.0,259.0,0.0,-6846.0,3739.0,-6234.0,12989.0,-3720.0,6890.0,-12488.0,7151.0,59.0
87840676788.0,53.0,-3400.0,2262.0,-102.0,46.0,84.0,-257.0,778.0,-246.0,4686.0,-239.0,5158.0,9685070.0,259.0,0.0,-6857.0,3753.0,-6210.0,12990.0,-3715.0,6911.0,-12476.0,7155.0,59.0
87840696807.0,-98.0,-3350.0,2325.0,-55.0,19.0,32.0,-256.0,777.0,-244.0,4680.0,-246.0,5164.0,9685070.0,259.0,0.0,-6861.0,3763.0,-6201.0,12989.0,-3712.0,6922.0,-12470.0,7157.0,59.0
87840716827.0,-182.0,-3426.0,2280.0,-21.0,33.0,32.0,-253.0,778.0,-241.0,4678.0,-251.0,5168.0,9685144.0,259.0,0.0,-6861.0,3772.0,-6197.0,12988.0,-3707.0,6930.0,-12466.0,7159.0,59.0
87840736846.0,-153.0,-3549.0,2309.0,-25.0,28.0,14.0,-255.0,777.0,-241.0,4678.0,-254.0,5171.0,9685144.0,259.0,0.0,-6862.0,3779.0,-6196.0,12986.0,-3703.0,6937.0,-12463.0,7158.0,59.0
87840756866.0,-173.0,-3378.0,2252.0,-29.0,22.0,4.0,-249.0,780.0,-244.0,4679.0,-256.0,5173.0,9685144.0,259.0,0.0,-6864.0,3784.0,-6196.0,12984.0,-3701.0,6941.0,-12462.0,7157.0,59.0
87840776885.0,-234.0,-3314.0,2071.0,-27.0,50.0,28.0,-250.0,786.0,-243.0,4671.0,-262.0,5178.0,9685144.0,259.0,0.0,-6867.0,3791.0,-6185.0,12986.0,-3696.0,6951.0,-12459.0,7156.0,59.0
87840796905.0,-247.0,-3276.0,1968.0,-31.0,128.0,100.0,-252.0,787.0,-242.0,4671.0,-277.0,5182.0,9685040.0,259.0,0.0,-6860.0,3817.0,-6184.0,12982.0,-3678.0,6968.0,-12454.0,7157.0,59.0
87840816925.0,69.0,-3635.0,1854.0,9.0,171.0,133.0,-248.0,784.0,-246.0,4679.0,-296.0,5187.0,9685040.0,259.0,0.0,-6848.0,3855.0,-6191.0,12974.0,-3654.0,6988.0,-12449.0,7159.0,59.0
87840837036.0,-286.0,-3526.0,2426.0,2.0,144.0,43.0,-245.0,785.0,-243.0,4667.0,-315.0,5182.0,9685040.0,259.0,0.0,-6830.0,3875.0,-6178.0,12983.0,-3620.0,6998.0,-12452.0,7160.0,59.0
87840856964.0,-155.0,-3581.0,2183.0,-6.0,39.0,0.0,-248.0,782.0,-242.0,4670.0,-318.0,5185.0,9685040.0,259.0,0.0,-6830.0,3884.0,-6181.0,12980.0,-3615.0,7006.0,-12452.0,7156.0,59.0
87840876983.0,-202.0,-3501.0,2295.0,-13.0,20.0,-65.0,-248.0,782.0,-243.0,4684.0,-316.0,5185.0,9684980.0,259.0,0.0,-6827.0,3889.0,-6198.0,12971.0,-3615.0,7006.0,-12457.0,7147.0,59.0
87840897064.0,-188.0,-3501.0,2232.0,-17.0,-14.0,-95.0,-247.0,783.0,-245.0,4700.0,-308.0,5188.0,9684980.0,259.0,0.0,-6831.0,3888.0,-6217.0,12961.0,-3624.0,7005.0,-12462.0,7136.0,59.0
87840917022.0,-181.0,-3392.0,2213.0,-32.0,-19.0,-108.0,-245.0,786.0,-245.0,4706.0,-297.0,5191.0,9684980.0,259.0,0.0,-6842.0,3877.0,-6223.0,12955.0,-3636.0,7002.0,-12467.0,7122.0,59.0
87840937042.0,-110.0,-3394.0,2150.0,-57.0,-29.0,-35.0,-250.0,786.0,-243.0,4716.0,-290.0,5197.0,9684980.0,259.0,0.0,-6851.0,3876.0,-6234.0,12945.0,-3649.0,7005.0,-12466.0,7114.0,59.0
87840957061.0,-132.0,-3433.0,2150.0,-83.0,-36.0,-5.0,-252.0,790.0,-245.0,4720.0,-287.0,5205.0,9685128.0,259.0,0.0,-6863.0,3880.0,-6236.0,12937.0,-3660.0,7013.0,-12460.0,7112.0,59.0
87840977081.0,-150.0,-3460.0,2127.0,-96.0,-36.0,19.0,-252.0,785.0,-244.0,4726.0,-287.0,5216.0,9685128.0,259.0,0.0,-6874.0,3890.0,-6240.0,12926.0,-3671.0,7024.0,-12450.0,7113.0,59.0
87840997100.0,-131.0,-3452.0,2125.0,-90.0,-24.0,14.0,-255.0,784.0,-242.0,4732.0,-287.0,5227.0,9685128.0,259.0,0.0,-6884.0,3900.0,-6244.0,12916.0,-3680.0,7035.0,-12441.0,7114.0,59.0
87841017120.0,-40.0,-3352.0,1841.0,-154.0,-118.0,27.0,-253.0,782.0,-240.0,4726.0,-285.0,5243.0,9685128.0,259.0,0.0,-6908.0,3903.0,-6231.0,12908.0,-3700.0,7049.0,-12425.0,7117.0,59.0
87841037139.0,101.0,-3658.0,2121.0,-48.0,-37.0,-29.0,-252.0,781.0,-236.0,4718.0,-279.0,5251.0,9685047.0,259.0,0.0,-6926.0,3893.0,-6219.0,12908.0,-3717.0,7053.0,-12418.0,7116.0,59.0
87841057159.0,-244.0,-3432.0,2228.0,-56.0,0.0,-31.0,-252.0,781.0,-232.0,4719.0,-279.0,5254.0,9685047.0,259.0,0.0,-6929.0,3897.0,-6219.0,12905.0,-3718.0,7058.0,-12417.0,7111.0,59.0
87841077331.0,41.0,-3390.0,2055.0,-54.0,41.0,21.0,-249.0,778.0,-230.0,4717.0,-279.0,5262.0,9685047.0,259.0,0.0,-6939.0,3900.0,-6213.0,12901.0,-3721.0,7068.0,-12414.0,7106.0,59.0
87841097198.0,-78.0,-3369.0,2294.0,-44.0,68.0,146.0,-252.0,777.0,-230.0,4718.0,-294.0,5264.0,9685047.0,259.0,0.0,-6929.0,3926.0,-6214.0,12898.0,-3706.0,7080.0,-12406.0,7115.0,59.0
87841117218.0,-279.0,-3807.0,2294.0,-87.0,96.0,140.0,-251.0,781.0,-225.0,4692.0,-317.0,5274.0,9685076.0,259.0,0.0,-6932.0,3950.0,-6178.0,12906.0,-3686.0,7106.0,-12390.0,7127.0,59.0
87841137512.0,-165.0,-3453.0,2129.0,-116.0,102.0,52.0,-250.0,785.0,-224.0,4685.0,-329.0,5287.0,9685076.0,259.0,0.0,-6940.0,3973.0,-6166.0,12901.0,-3677.0,7131.0,-12381.0,7124.0,59.0
87841157257.0,-90.0,-3380.0,2150.0,-82.0,97.0,72.0,-249.0,789.0,-222.0,4676.0,-339.0,5297.0,9685076.0,259.0,0.0,-6946.0,3990.0,-6152.0,12899.0,-3667.0,7151.0,-12374.0,7120.0,59.0
87841177276.0,-159.0,-3498.0,2226.0,-62.0,60.0,116.0,-248.0,790.0,-225.0,4677.0,-354.0,5303.0,9685076.0,259.0,0.0,-6941.0,4019.0,-6151.0,12894.0,-3653.0,7169.0,-12364.0,7127.0,59.0
87841197387.0,-170.0,-3552.0,2136.0,-57.0,22.0,99.0,-250.0,789.0,-222.0,4670.0,-366.0,5311.0,9685085.0,259.0,0.0,-6942.0,4038.0,-6139.0,12892.0,-3646.0,7184.0,-12352.0,7136.0,59.0
87841217315.0,-183.0,-3555.0,2064.0,-46.0,-1.0,64.0,-245.0,788.0,-220.0,4654.0,-374.0,5317.0,9685085.0,259.0,0.0,-6950.0,4042.0,-6117.0,12897.0,-3645.0,7195.0,-12342.0,7143.0,59.0
87841237335.0,-205.0,-3588.0,2059.0,-45.0,-10.0,28.0,-245.0,786.0,-221.0,4649.0,-377.0,5323.0,9685085.0,259.0,0.0,-6956.0,4047.0,-6109.0,12896.0,-3647.0,7202.0,-12335.0,7147.0,59.0
87841257568.0,-230.0,-3551.0,2088.0,-47.0,-12.0,-4.0,-244.0,789.0,-217.0,4647.0,-376.0,5328.0,9685085.0,259.0,0.0,-6963.0,4048.0,-6106.0,12894.0,-3651.0,7208.0,-12331.0,7146.0,59.0
87841277404.0,-232.0,-3513.0,2095.0,-43.0,-14.0,-23.0,-243.0,788.0,-219.0,4648.0,-373.0,5333.0,9684995.0,259.0,0.0,-6971.0,4047.0,-6106.0,12890.0,-3657.0,7212.0,-12328.0,7144.0,59.0
