Timestamp,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Magnetometer X,Magnetometer Y,Magnetometer Z,Euler X,Euler Y,Euler Z,Pressure,Step count,Activity,Rotation Vector X,Rotation Vector Y,Rotation Vector Z,Rotation Vector W,Game Rotation Vector X,Game Rotation Vector Y,Game Rotation Vector Z,Game Rotation Vector W,Calibration
93698832061.0,389.0,-4102.0,9.0,-14.0,8.0,-12.0,-159.0,763.0,-364.0,15914.0,506.0,8171.0,9675396.0,273.0,0.0,-1635.0,11446.0,-11595.0,521.0,-5195.0,-10333.0,9815.0,6191.0,63.0
93698852081.0,399.0,-4061.0,13.0,-12.0,10.0,-4.0,-156.0,762.0,-366.0,15917.0,507.0,8172.0,9675394.0,273.0,0.0,-1635.0,11448.0,-11594.0,518.0,-5195.0,-10334.0,9812.0,6193.0,63.0
93698872100.0,403.0,-4074.0,33.0,-14.0,9.0,1.0,-154.0,763.0,-365.0,15918.0,507.0,8173.0,9675394.0,273.0,0.0,-1634.0,11449.0,-11593.0,517.0,-5197.0,-10334.0,9810.0,6193.0,63.0
93698892120.0,414.0,-4069.0,28.0,-17.0,7.0,0.0,-158.0,764.0,-364.0,15919.0,507.0,8175.0,9675394.0,273.0,0.0,-1633.0,11451.0,-11591.0,515.0,-5199.0,-10335.0,9808.0,6194.0,63.0
93698912139.0,419.0,-4075.0,43.0,-19.0,2.0,4.0,-155.0,761.0,-364.0,15920.0,507.0,8177.0,9675394.0,273.0,0.0,-1632.0,11453.0,-11589.0,514.0,-5201.0,-10336.0,9806.0,6193.0,63.0
93698932159.0,414.0,-4085.0,22.0,-22.0,-5.0,5.0,-155.0,760.0,-369.0,15919.0,506.0,8179.0,9675482.0,273.0,0.0,-1633.0,11456.0,-11587.0,515.0,-5202.0,-10339.0,9804.0,6191.0,63.0
93698952178.0,413.0,-4070.0,10.0,-30.0,-14.0,6.0,-153.0,762.0,-367.0,15918.0,506.0,8183.0,9675482.0,273.0,0.0,-1634.0,11459.0,-11583.0,516.0,-5203.0,-10342.0,9802.0,6188.0,63.0
93698972198.0,414.0,-4075.0,2.0,-31.0,-21.0,10.0,-151.0,764.0,-366.0,15915.0,505.0,8186.0,9675482.0,273.0,0.0,-1635.0,11463.0,-11578.0,519.0,-5204.0,-10347.0,9800.0,6183.0,63.0
93698992218.0,406.0,-4078.0,8.0,-28.0,-24.0,10.0,-152.0,762.0,-366.0,15912.0,504.0,8190.0,9675482.0,273.0,0.0,-1637.0,11467.0,-11575.0,523.0,-5205.0,-10350.0,9799.0,6178.0,63.0
93699012237.0,400.0,-4071.0,-11.0,-23.0,-30.0,11.0,-151.0,763.0,-363.0,15908.0,503.0,8193.0,9675554.0,273.0,0.0,-1639.0,11470.0,-11571.0,527.0,-5205.0,-10355.0,9798.0,6172.0,63.0
93699032257.0,398.0,-4091.0,-12.0,-23.0,-30.0,14.0,-155.0,761.0,-360.0,15903.0,501.0,8196.0,9675554.0,273.0,0.0,-1642.0,11473.0,-11567.0,532.0,-5205.0,-10358.0,9798.0,6166.0,63.0
93699052276.0,395.0,-4093.0,-21.0,-23.0,-31.0,14.0,-154.0,762.0,-360.0,15899.0,500.0,8199.0,9675554.0,273.0,0.0,-1644.0,11477.0,-11563.0,537.0,-5205.0,-10362.0,9798.0,6160.0,63.0
93699072296.0,383.0,-4097.0,-27.0,-20.0,-29.0,3.0,-155.0,763.0,-354.0,15895.0,499.0,8202.0,9675554.0,273.0,0.0,-1646.0,11479.0,-11560.0,541.0,-5204.0,-10366.0,9798.0,6154.0,63.0
93699092315.0,389.0,-4069.0,-28.0,-16.0,-24.0,0.0,-155.0,763.0,-357.0,15892.0,499.0,8205.0,9675443.0,273.0,0.0,-1650.0,11481.0,-11557.0,544.0,-5203.0,-10370.0,9797.0,6151.0,63.0
93699112335.0,392.0,-4083.0,-33.0,-17.0,-20.0,5.0,-152.0,765.0,-359.0,15890.0,499.0,8207.0,9675443.0,273.0,0.0,-1652.0,11484.0,-11555.0,546.0,-5202.0,-10373.0,9796.0,6147.0,63.0
93699132354.0,380.0,-4078.0,-45.0,-22.0,-16.0,7.0,-153.0,763.0,-360.0,15887.0,498.0,8210.0,9675443.0,273.0,0.0,-1653.0,11487.0,-11551.0,549.0,-5203.0,-10376.0,9795.0,6143.0,63.0
93699152374.0,383.0,-4082.0,-34.0,-21.0,-10.0,9.0,-152.0,763.0,-361.0,15885.0,497.0,8212.0,9675443.0,273.0,0.0,-1654.0,11489.0,-11548.0,551.0,-5204.0,-10379.0,9794.0,6140.0,63.0
93699172393.0,384.0,-4089.0,-34.0,-18.0,-6.0,8.0,-153.0,766.0,-355.0,15884.0,496.0,8215.0,9675465.0,273.0,0.0,-1654.0,11492.0,-11546.0,553.0,-5205.0,-10381.0,9792.0,6137.0,63.0
93699192413.0,386.0,-4092.0,-31.0,-17.0,-6.0,8.0,-155.0,768.0,-356.0,15882.0,495.0,8217.0,9675465.0,273.0,0.0,-1654.0,11494.0,-11543.0,554.0,-5207.0,-10382.0,9791.0,6134.0,63.0
93699212432.0,381.0,-4081.0,-37.0,-16.0,-8.0,3.0,-152.0,767.0,-359.0,15881.0,494.0,8219.0,9675465.0,273.0,0.0,-1654.0,11497.0,-11541.0,555.0,-5208.0,-10385.0,9790.0,6132.0,63.0
93699232452.0,388.0,-4083.0,-36.0,-13.0,-9.0,2.0,-151.0,766.0,-356.0,15880.0,494.0,8221.0,9675465.0,273.0,0.0,-1655.0,11499.0,-11539.0,556.0,-5208.0,-10387.0,9789.0,6130.0,63.0
93699252471.0,380.0,-4075.0,-30.0,-10.0,-11.0,1.0,-154.0,765.0,-353.0,15879.0,494.0,8222.0,9675428.0,273.0,0.0,-1656.0,11500.0,-11537.0,558.0,-5208.0,-10388.0,9788.0,6128.0,63.0
93699272491.0,378.0,-4077.0,-51.0,-10.0,-11.0,1.0,-149.0,765.0,-352.0,15877.0,493.0,8224.0,9675428.0,273.0,0.0,-1657.0,11502.0,-11535.0,559.0,-5208.0,-10390.0,9788.0,6126.0,63.0
93699292510.0,377.0,-4065.0,-43.0,-10.0,-11.0,6.0,-147.0,763.0,-348.0,15876.0,493.0,8225.0,9675428.0,273.0,0.0,-1658.0,11503.0,-11534.0,561.0,-5208.0,-10392.0,9787.0,6123.0,63.0
93699312530.0,382.0,-4076.0,-48.0,-10.0,-9.0,8.0,-151.0,760.0,-354.0,15874.0,492.0,8226.0,9675428.0,273.0,0.0,-1658.0,11505.0,-11532.0,563.0,-5209.0,-10393.0,9787.0,6121.0,63.0
93699332550.0,380.0,-4065.0,-39.0,-10.0,-9.0,8.0,-154.0,761.0,-353.0,15872.0,491.0,8228.0,9675708.0,273.0,0.0,-1658.0,11506.0,-11530.0,565.0,-5210.0,-10394.0,9787.0,6118.0,63.0
93699352569.0,380.0,-4068.0,-29.0,-3.0,-11.0,13.0,-151.0,760.0,-352.0,15870.0,489.0,8228.0,9675708.0,273.0,0.0,-1658.0,11507.0,-11530.0,568.0,-5210.0,-10395.0,9788.0,6116.0,63.0
93699372589.0,373.0,-4072.0,-34.0,-1.0,-15.0,14.0,-149.0,760.0,-351.0,15866.0,488.0,8229.0,9675708.0,273.0,0.0,-1657.0,11507.0,-11529.0,571.0,-5211.0,-10395.0,9789.0,6112.0,63.0
93699392608.0,362.0,-4081.0,-34.0,3.0,-17.0,11.0,-145.0,761.0,-351.0,15863.0,486.0,8229.0,9675708.0,273.0,0.0,-1658.0,11507.0,-11529.0,575.0,-5211.0,-10395.0,9791.0,6109.0,63.0
93699412628.0,363.0,-4090.0,-36.0,6.0,-17.0,10.0,-144.0,762.0,-356.0,15860.0,485.0,8228.0,9675576.0,273.0,0.0,-1658.0,11507.0,-11529.0,579.0,-5210.0,-10395.0,9794.0,6106.0,63.0
93699432647.0,367.0,-4089.0,-38.0,4.0,-16.0,10.0,-147.0,768.0,-356.0,15856.0,483.0,8228.0,9675576.0,273.0,0.0,-1659.0,11506.0,-11529.0,582.0,-5209.0,-10395.0,9796.0,6104.0,63.0
93699452667.0,353.0,-4118.0,-30.0,0.0,-12.0,5.0,-146.0,771.0,-354.0,15854.0,482.0,8228.0,9675576.0,273.0,0.0,-1659.0,11506.0,-11529.0,585.0,-5209.0,-10395.0,9797.0,6101.0,63.0
93699472686.0,364.0,-4084.0,-50.0,-8.0,-11.0,6.0,-150.0,775.0,-355.0,15852.0,482.0,8229.0,9675576.0,273.0,0.0,-1660.0,11507.0,-11528.0,587.0,-5209.0,-10397.0,9797.0,6099.0,63.0
93699492706.0,365.0,-4127.0,-32.0,-16.0,-8.0,6.0,-143.0,776.0,-357.0,15851.0,481.0,8230.0,9675604.0,273.0,0.0,-1660.0,11509.0,-11526.0,588.0,-5210.0,-10398.0,9797.0,6097.0,63.0
93699512725.0,364.0,-4100.0,-39.0,-15.0,-8.0,-4.0,-142.0,776.0,-355.0,15850.0,481.0,8233.0,9675604.0,273.0,0.0,-1662.0,11511.0,-11524.0,589.0,-5210.0,-10400.0,9795.0,6095.0,63.0
93699532745.0,353.0,-4118.0,-41.0,-7.0,-8.0,-16.0,-139.0,774.0,-354.0,15850.0,482.0,8234.0,9675604.0,273.0,0.0,-1664.0,11512.0,-11523.0,589.0,-5208.0,-10402.0,9794.0,6094.0,63.0
93699552764.0,367.0,-4059.0,-32.0,-5.0,-6.0,-16.0,-144.0,771.0,-350.0,15852.0,484.0,8234.0,9675604.0,273.0,0.0,-1667.0,11512.0,-11522.0,587.0,-5206.0,-10405.0,9793.0,6095.0,63.0
93699572784.0,366.0,-4072.0,-49.0,-3.0,-4.0,-10.0,-150.0,772.0,-349.0,15852.0,485.0,8235.0,9675471.0,273.0,0.0,-1669.0,11513.0,-11521.0,586.0,-5204.0,-10406.0,9792.0,6095.0,63.0
93699592803.0,369.0,-4072.0,-43.0,-6.0,9.0,-9.0,-153.0,771.0,-352.0,15854.0,487.0,8236.0,9675471.0,273.0,0.0,-1670.0,11514.0,-11520.0,584.0,-5204.0,-10408.0,9789.0,6097.0,63.0
93699612823.0,382.0,-4073.0,-43.0,-8.0,15.0,-12.0,-156.0,769.0,-347.0,15857.0,488.0,8237.0,9675471.0,273.0,0.0,-1670.0,11515.0,-11519.0,580.0,-5205.0,-10408.0,9787.0,6099.0,63.0
93699632843.0,392.0,-4072.0,-32.0,-8.0,15.0,-7.0,-159.0,768.0,-349.0,15861.0,490.0,8238.0,9675471.0,273.0,0.0,-1670.0,11516.0,-11519.0,577.0,-5206.0,-10409.0,9784.0,6102.0,63.0
